Resume_ID,ML_Prediction_KFold,ML_Probability_KFold,S-BERT_Similarity,TF-IDF_Jaccard_Combined,True_Label
ata acquired specific knowledge various process like data analytics data migration data integration data purging database management internship project manager department management united nation headquarters new york ny novembre mai new york usa industry npo international organization designed implemented un internship recruitment automation gained certificate appreciation secretary general kofi annan successful project execution project management project nominated prestigious united nation award project manager satyam computer limited aout aout formerly digital technology technology used sap hr m project spss sa dreamweaver m visio m office suite rdbms m sharepoint sql java uml oracle formation mba en international business management royal holloway university london uk john lloyd huck research institute master science en analytics information system university arkansas little rock little rock ar bachelor engineering en b engg osmania university graduate diploma en information system university arkansas little rock little rock ar,1,0.97,0.30736697,0.011495791757615021,1
ration data purging database management internship project manager department management united nation headquarters new york ny novembre mai new york usa industry npo international organization designed implemented un internship recruitment automation gained certificate appreciation secretary general kofi annan successful project execution project management project nominated prestigious united nation award project manager satyam computer limited aout aout formerly digital technology technology used sap hr project spss sa dreamweaver visio office suite rdbms sharepoint sql java uml oracle formation mba en international business management royal holloway university london uk john lloyd huck research institute master science en analytics information system university arkansas little rock little rock ar bachelor engineering en b engg osmania university graduate diploma en information system university arkansas little rock little rock ar,1,0.97,0.30736697,0.011502910959198417,1
2100,1,0.97,0.38643968,0.029083132584524052,1
900,1,0.97,0.34448275,0.0169346636405089,1
702,1,0.97,0.3812884,0.010651751333313746,1
2257,1,0.97,0.29744917,0.009180750351537611,1
2137,1,0.97,0.35553113,0.01730873886133141,1
723,1,0.97,0.4793703,0.004677750222471992,1
2127,1,0.97,0.40829268,0.014100422093305172,1
1868,1,0.97,0.30000597,0.015216847630010558,1
2087,1,0.97,0.35553113,0.01730873886133141,1
2132,1,0.97,0.32164627,0.03229445843539529,1
625,1,0.97,0.34448275,0.0169346636405089,1
639,1,0.97,0.40102357,0.025431400347926313,1
2079,1,0.97,0.3295796,0.003953976528608185,1
2,1,0.97,0.363901,0.03206444477935472,1
1591,1,0.97,0.3273714,0.02026559005178004,1
2150,1,0.97,0.38643968,0.029083132584524052,1
662,1,0.97,0.4793703,0.004677750222471992,1
642,1,0.97,0.3812884,0.010651751333313746,1
878,1,0.97,0.32073653,0.02056027030558156,1
2077,1,0.97,0.40829268,0.014100422093305172,1
2095,1,0.97,0.30698034,0.006447757146196824,1
791,1,0.97,0.32657814,0.0333935314737348,1
654,1,0.97,0.32073653,0.02056027030558156,1
888,1,0.97,0.4793703,0.004677750222471992,1
2251,1,0.97,0.32164627,0.03229445843539529,1
665,1,0.97,0.35516176,0.028658270962603174,1
2264,1,0.97,0.30698034,0.006447757146196824,1
670,1,0.97,0.35516176,0.028658270962603174,1
681,1,0.97,0.34448275,0.0169346636405089,1
2178,1,0.97,0.40829268,0.014100422093305172,1
2269,1,0.97,0.3864397,0.029083132584524052,1
2248,1,0.97,0.3295796,0.003953976528608185,1
1641,1,0.97,0.3273714,0.02026559005178004,1
 data purging database management internship project manager department management united nation headquarters new york ny novembre mai new york usa industry npo international organization designed implemented un internship recruitment automation gained certificate appreciation secretary general kofi annan successful project execution project management project nominated prestigious united nation award project manager satyam computer limited aout aout formerly digital technology technology used sap hr project spss sa dreamweaver visio office suite rdbms sharepoint sql java uml oracle formation mba en international business management royal holloway university london uk john lloyd huck research institute master science en analytics information system university arkansas little rock little rock ar bachelor engineering en b engg osmania university graduate diploma en information system university arkansas little rock little rock ar,1,0.97,0.30736697,0.011509505090421628,1
891,1,0.97,0.35516176,0.028658270962603174,1
2082,1,0.97,0.32164627,0.03229445843539529,1
2108,1,0.96,0.313388,0.008715418603511263,1
2277,1,0.96,0.313388,0.008715418603511263,1
691,1,0.96,0.4275965,0.04973559816700484,1
844,1,0.96,0.33705795,0.023695218480345406,1
635,1,0.96,0.4275965,0.04973559816700484,1
1699,1,0.96,0.39158022,0.022177778211968764,1
2097,1,0.96,0.34808314,0.012693798021990815,1
2096,1,0.96,0.31493923,0.01031765520720616,1
768,1,0.96,0.37782848,0.030989050188734067,1
2147,1,0.96,0.34808314,0.012693798021990815,1
1480,1,0.96,0.33758897,0.03739099819971522,1
2092,1,0.96,0.30525273,0.011239345166376523,1
621,1,0.96,0.34776872,0.01129979634438764,1
2146,1,0.96,0.31493923,0.01031765520720616,1
1565,1,0.96,0.32751757,0.02614722533277797,1
2266,1,0.96,0.34808314,0.012693798021990815,1
2142,1,0.96,0.30525273,0.011239345166376523,1
798,1,0.96,0.42420107,0.01958060776553714,1
2265,1,0.96,0.31493923,0.01031765520720616,1
1658,1,0.96,0.32751757,0.02614722533277797,1
1615,1,0.96,0.32751757,0.02614722533277797,1
2261,1,0.96,0.30525273,0.011239345166376523,1
737,1,0.96,0.37117052,0.03562842336157829,1
1296,1,0.96,0.3886531,0.010686144368623314,1
830,1,0.96,0.37080973,0.00675729755320844,1
644,1,0.96,0.5204846,0.02163611468720946,1
897,1,0.96,0.34776872,0.01129979634438764,1
856,1,0.96,0.4275965,0.04973559816700484,1
